"","country","year","urban_pop_percent","urban_growth","rural_growth","cap_city_pop","cap_percent_pop","cap_percent_urban","fertility_rate","infant_morality_per_thousand","life_exp","gender_ratio_lifeexp","continent","region","capital_pop","capital_pop_sign","capital_pop1","sign"
"654","Poland","2010",60.9,-0.2,0.3,"1,703",4.4,7.3,1.4,4.9,76.3,0.896894409937888,"Europe","Eastern Europe",NA,"0",1,"1"
"655","Poland","2015",60.3,-0.2,0.3,"1,740",4.5,7.5,1.3,4,77.4,0.904059040590406,"Europe","Eastern Europe",NA,"0",1,"1"
"656","Poland","2018",60.1,NA,NA,"1,768",NA,NA,1.5,4.1,77.7,0.905521472392638,"Europe","Eastern Europe",NA,"0",1,"missing"
"657","Portugal","2005",57.5,1.5,-1,"2,742",25.9,45.1,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"0"
"658","Portugal","2010",60.6,1.2,-1.3,"2,812",26.4,43.6,1.4,2.6,80,0.924187725631769,"Europe","Southern Europe",NA,"0",1,"0"
"659","Portugal","2015",63.5,0.5,-2,"2,883",27.7,43.6,1.3,3,81.2,0.928656361474435,"Europe","Southern Europe",NA,"0",1,"0"
"660","Portugal","2018",65.2,NA,NA,"2,927",NA,NA,1.4,2.6,81.5,0.928909952606635,"Europe","Southern Europe",NA,"0",1,"missing"
"661","Puerto Rico","2005",94.1,-0.2,0.8,"2,493",66.2,70.4,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"662","Puerto Rico","2010",93.8,-0.3,0.7,"2,478",66.7,71.1,1.6,7.2,78,0.901339829476249,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"663","Puerto Rico","2015",93.6,-0.3,0.4,"2,463",67.1,71.6,1.4,6.8,79.7,0.903341288782816,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"664","Puerto Rico","2018",93.6,NA,NA,"2,454",NA,NA,1.2,8.1,79.3,0.90734055354994,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"665","Qatar","2005",97.4,7.8,0.6,"373",43.1,44.3,NA,NA,NA,NA,"Asia","Western Asia",373,"1",373,"1"
"666","Qatar","2010",98.5,14.7,3.4,"524",29.4,29.9,2.1,7.8,78.4,0.961490683229814,"Asia","Western Asia",524,"1",524,"1"
"667","Qatar","2015",98.9,6.7,-0.4,"590",23.8,24,1.9,6.7,80.1,0.969400244798042,"Asia","Western Asia",590,"1",590,"0"
"668","Qatar","2018",99.1,NA,NA,"633",NA,NA,1.8,6,80.7,0.969623329283111,"Asia","Western Asia",633,"1",633,"missing"
"669","Republic of Korea","2005",81.3,1,-1.2,"9,822",20.2,24.8,NA,NA,NA,NA,"Asia","Eastern Asia",NA,"0",1,"0"
"670","Republic of Korea","2010",81.9,0.5,-0.3,"9,796",19.8,24.1,1.2,3.5,80.8,0.915676959619952,"Asia","Eastern Asia",NA,"0",1,"0"
"671","Republic of Korea","2015",81.6,0.3,0.7,"9,897",19.6,24,1.2,2.9,82.6,0.920745920745921,"Asia","Eastern Asia",NA,"0",1,"1"
"672","Republic of Korea","2018",81.5,NA,NA,"9,963",NA,NA,1.1,2.7,83.3,0.923611111111111,"Asia","Eastern Asia",NA,"0",1,"missing"
"673","Republic of Moldova","2005",42.8,-1,0.4,"585",14.1,32.9,NA,NA,NA,NA,"Europe","Eastern Europe",585,"1",585,"1"
"674","Republic of Moldova","2010",42.6,-0.4,-0.3,"555",13.6,31.9,1.7,14.6,69.4,0.880758807588076,"Europe","Eastern Europe",555,"1",555,"0"
"675","Republic of Moldova","2015",42.5,-0.2,0,"526",12.9,30.5,1.9,13.4,69.2,0.878048780487805,"Europe","Eastern Europe",526,"1",526,"1"
"676","Republic of Moldova","2018",42.6,NA,NA,"510",NA,NA,1.8,13,70.5,0.880159786950732,"Europe","Eastern Europe",510,"1",510,"missing"
"677","Réunion","2005",96.3,2.5,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,"0"
"678","Réunion","2010",98.5,1.4,-17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,"0"
"679","Réunion","2015",99.3,0.9,-15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",1,"0"
"680","Réunion","2018",99.6,NA,NA,"147",NA,NA,NA,NA,NA,NA,NA,NA,147,"1",147,"missing"
"681","Romania","2005",53.2,-0.6,-0.7,"1,912",8.9,16.8,NA,NA,NA,NA,"Europe","Eastern Europe",NA,"0",1,"0"
"682","Romania","2010",53.8,-0.7,-1.2,"1,889",9.2,17.2,1.6,10.3,74,0.906048906048906,"Europe","Eastern Europe",NA,"0",1,"0"
"683","Romania","2015",53.9,-0.5,-0.6,"1,849",9.3,17.3,1.6,7.9,74.8,0.91304347826087,"Europe","Eastern Europe",NA,"0",1,"0"
"684","Romania","2018",54,NA,NA,"1,821",NA,NA,1.8,7.6,76,0.907151819322459,"Europe","Eastern Europe",NA,"0",1,"missing"
"685","Russian Federation","2005",73.5,-0.4,-0.5,"10,751",7.5,10.2,NA,NA,NA,NA,"Europe","Eastern Europe",NA,"0",1,"0"
"686","Russian Federation","2010",73.7,0,-0.2,"11,461",8,10.9,1.6,7.9,69.4,0.843293492695883,"Europe","Eastern Europe",NA,"0",1,"0"
"687","Russian Federation","2015",74.1,0.2,-0.2,"12,049",8.4,11.3,1.8,6,72.1,0.86046511627907,"Europe","Eastern Europe",NA,"0",1,"0"
"688","Russian Federation","2018",74.4,NA,NA,"12,410",NA,NA,1.6,4.6,73.4,0.869731800766284,"Europe","Eastern Europe",NA,"0",1,"missing"
"689","Rwanda","2005",16.9,4.8,1.8,"668",7.4,43.9,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",668,"1",668,"1"
"690","Rwanda","2010",16.9,2.6,2.6,"797",7.8,45.9,4.5,44.9,62.5,0.945482866043614,"Africa","Sub-Saharan Africa",797,"1",797,"1"
"691","Rwanda","2015",17,2.6,2.5,"951",8.2,48.1,4.1,34.8,65.3,0.94047619047619,"Africa","Sub-Saharan Africa",951,"1",951,"1"
"692","Rwanda","2018",17.2,NA,NA,"1,058",NA,NA,4,32.7,65.9,0.933920704845815,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"693","Saint Helena","2005",39.9,-3.8,-3.4,NA,NA,NA,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"694","Saint Helena","2010",39.5,-0.7,-0.3,NA,NA,NA,1.6,12.8,76.5,0.914072229140722,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"695","Saint Helena","2015",39.5,-0.7,-0.7,NA,NA,NA,1.6,14.6,75.2,0.923664122137405,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"696","Saint Helena","2018",39.8,NA,NA,"1",NA,NA,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",1,"1",1,"missing"
"697","Saint Kitts and Nevis","2005",32,0.9,1.6,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"698","Saint Kitts and Nevis","2010",31.3,0.7,1.3,NA,NA,NA,1.8,12.8,71.3,0.919354838709677,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"699","Saint Kitts and Nevis","2015",30.8,0.8,1.2,NA,NA,NA,1.6,14.6,70.8,0.895861148197597,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"700","Saint Kitts and Nevis","2018",30.8,NA,NA,"14",NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",14,"1",14,"missing"
"701","Saint Lucia","2005",23.1,-2.9,2.1,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"702","Saint Lucia","2010",18.5,-3.4,2.2,NA,NA,NA,1.5,16.5,72.7,0.92338177014531,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"703","Saint Lucia","2015",18.5,0.6,0.5,NA,NA,NA,1.5,14.6,73.1,0.917539267015707,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"704","Saint Lucia","2018",18.7,NA,NA,"22",NA,NA,1.4,13.2,73.1,0.908854166666667,"Americas","Latin America and the Caribbean",22,"1",22,"missing"
"705","Saint Pierre and Miquelon","2005",89.9,0.1,-1.3,NA,NA,NA,NA,NA,NA,NA,"Americas","Northern America",NA,"0",1,"0"
"706","Saint Pierre and Miquelon","2010",89.9,0,0,NA,NA,NA,1.8,9.2,76.8,0.9,"Americas","Northern America",NA,"0",1,"1"
"707","Saint Pierre and Miquelon","2015",89.9,0.1,-0.8,NA,NA,NA,1.6,8.8,76.9,0.900246305418719,"Americas","Northern America",NA,"0",1,"0"
"708","Saint Pierre and Miquelon","2018",89.9,NA,NA,"6",NA,NA,NA,NA,NA,NA,"Americas","Northern America",6,"1",6,"missing"
"709","Saint Vincent & Grenadines","2005",47,1,-0.5,NA,NA,NA,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"710","Saint Vincent & Grenadines","2010",49,0.9,-0.6,NA,NA,NA,2.1,16.8,74.7,0.930412371134021,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"711","Saint Vincent & Grenadines","2015",51,0.8,-0.8,NA,NA,NA,2.1,14.3,74.4,0.93143596377749,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"712","Saint Vincent & Grenadines","2018",52.2,NA,NA,"27",NA,NA,1.9,13.3,74.3,0.933852140077821,"Americas","Latin America and the Caribbean",27,"1",27,"missing"
"713","Samoa","2005",21.2,-0.1,0.8,NA,NA,NA,NA,NA,NA,NA,"Oceania","Polynesia",NA,"0",1,"1"
"714","Samoa","2010",20.1,-0.4,1,NA,NA,NA,4.6,16.3,72.2,0.929333333333333,"Oceania","Polynesia",NA,"0",1,"1"
"715","Samoa","2015",18.9,-0.4,1.1,NA,NA,NA,4.4,15.7,72.5,0.93218085106383,"Oceania","Polynesia",NA,"0",1,"1"
"716","Samoa","2018",18.2,NA,NA,"36",NA,NA,4.2,15.3,72.6,0.932270916334661,"Oceania","Polynesia",36,"1",36,"missing"
"717","San Marino","2005",94.5,1.5,-2.1,NA,NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"0"
"718","San Marino","2010",95.7,1.5,-4,NA,NA,NA,1.5,3,82.7,0.959667852906287,"Europe","Southern Europe",NA,"0",1,"0"
"719","San Marino","2015",96.7,1.4,-4.2,NA,NA,NA,1.2,2.8,82.9,0.965599051008304,"Europe","Southern Europe",NA,"0",1,"0"
"720","San Marino","2018",97.2,NA,NA,"4",NA,NA,NA,NA,NA,NA,"Europe","Southern Europe",4,"1",4,"missing"
"721","Sao Tome and Principe","2005",59.2,4.4,-0.3,NA,NA,NA,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"722","Sao Tome and Principe","2010",65,4.2,-0.7,NA,NA,NA,4.7,26.8,65.2,0.927728613569322,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"723","Sao Tome and Principe","2015",70.2,3.8,-1,NA,NA,NA,4.4,17.8,67.2,0.92022792022792,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"724","Sao Tome and Principe","2018",72.8,NA,NA,"80",NA,NA,4.1,15.2,68.3,0.917366946778711,"Africa","Sub-Saharan Africa",80,"1",80,"missing"
"725","Saudi Arabia","2005",81,3.1,1.7,"4,252",17.8,22,NA,NA,NA,NA,"Asia","Western Asia",NA,"0",1,"1"
"726","Saudi Arabia","2010",82.1,3,1.6,"5,220",19,23.2,2.9,10.5,75.8,0.960051546391753,"Asia","Western Asia",NA,"0",1,"1"
"727","Saudi Arabia","2015",83.2,3.1,1.5,"6,218",19.7,23.7,2.6,7.8,76.9,0.964376590330789,"Asia","Western Asia",NA,"0",1,"1"
"728","Saudi Arabia","2018",83.8,NA,NA,"6,907",NA,NA,2.6,6.9,77.2,0.963197969543147,"Asia","Western Asia",NA,"0",1,"missing"
"729","Senegal","2005",41.7,3.3,2.1,"2,135",19,45.5,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"730","Senegal","2010",43.8,3.7,2,"2,427",18.8,42.9,5.1,40,64.6,0.947209653092006,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"731","Senegal","2015",45.9,3.9,2.2,"2,758",18.4,40.2,4.8,31.5,66.9,0.93342981186686,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"732","Senegal","2018",47.2,NA,NA,"2,978",NA,NA,4.6,28.5,67.8,0.931526390870186,"Africa","Sub-Saharan Africa",NA,"0",1,"missing"
"733","Serbia","2005",53.9,-0.2,-1.1,"1,303",14.1,26.2,NA,NA,NA,NA,"Europe","Southern Europe",NA,"0",1,"0"
"734","Serbia","2010",55,0,-0.9,"1,336",14.8,26.9,1.4,5.9,74.4,0.923673997412678,"Europe","Southern Europe",NA,"0",1,"0"
"735","Serbia","2015",55.7,-0.1,-0.7,"1,369",15.5,27.8,1.5,4.6,75.8,0.925031766200762,"Europe","Southern Europe",NA,"0",1,"0"
"736","Serbia","2018",56.1,NA,NA,"1,389",NA,NA,1.5,4.5,76.2,0.926582278481013,"Europe","Southern Europe",NA,"0",1,"missing"
"737","Seychelles","2005",51.7,2.3,1.3,NA,NA,NA,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
"738","Seychelles","2010",53.3,1.2,-0.1,NA,NA,NA,2.2,12,73,0.88659793814433,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"739","Seychelles","2015",55.4,1.3,-0.4,NA,NA,NA,2.3,12.6,73.7,0.890166028097063,"Africa","Sub-Saharan Africa",NA,"0",1,"0"
"740","Seychelles","2018",56.7,NA,NA,"28",NA,NA,2.5,12.5,73.8,0.893997445721584,"Africa","Sub-Saharan Africa",28,"1",28,"missing"
"741","Sierra Leone","2005",36.9,5,3.9,"786",13.9,37.6,NA,NA,NA,NA,"Africa","Sub-Saharan Africa",786,"1",786,"1"
"742","Sierra Leone","2010",38.9,3.7,2,"905",14,36.1,5.3,104.4,53.7,0.970642201834862,"Africa","Sub-Saharan Africa",905,"1",905,"1"
"743","Sierra Leone","2015",40.8,3.3,1.6,"1,043",14.4,35.3,4.5,88.1,57.2,0.965635738831615,"Africa","Sub-Saharan Africa",NA,"0",1,"1"
